# JMH version: 1.21
# VM version: JDK 10.0.2, OpenJDK 64-Bit Server VM, 10.0.2+13-Ubuntu-1ubuntu0.18.04.4
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 5 iterations, 3 s each
# Measurement: 5 iterations, 5 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.BalancedMergesortBenchmark.testMethodBalancedParallelMergesortMerge4Cores

# Run progress: 0,00% complete, ETA 00:10:00
# Fork: 1 of 5
# Warmup Iteration   1: 15881,729 ±(99.9%) 8693,662 ns/op
# Warmup Iteration   2: 11574,382 ±(99.9%) 7504,763 ns/op
# Warmup Iteration   3: 10494,885 ±(99.9%) 5927,733 ns/op
# Warmup Iteration   4: 9480,074 ±(99.9%) 800,841 ns/op
# Warmup Iteration   5: 9786,749 ±(99.9%) 2739,439 ns/op
Iteration   1: 9503,954 ±(99.9%) 935,491 ns/op
Iteration   2: 9588,440 ±(99.9%) 1022,789 ns/op
Iteration   3: 9494,192 ±(99.9%) 1168,489 ns/op
Iteration   4: 9542,409 ±(99.9%) 663,103 ns/op
Iteration   5: 9430,578 ±(99.9%) 1059,842 ns/op

# Run progress: 6,67% complete, ETA 00:09:27
# Fork: 2 of 5
# Warmup Iteration   1: 12141,246 ±(99.9%) 1372,933 ns/op
# Warmup Iteration   2: 9609,510 ±(99.9%) 683,429 ns/op
# Warmup Iteration   3: 9556,501 ±(99.9%) 1286,507 ns/op
# Warmup Iteration   4: 9649,294 ±(99.9%) 1623,894 ns/op
# Warmup Iteration   5: 9588,982 ±(99.9%) 999,431 ns/op
Iteration   1: 9518,078 ±(99.9%) 1247,468 ns/op
Iteration   2: 9523,154 ±(99.9%) 660,979 ns/op
Iteration   3: 9628,666 ±(99.9%) 1059,055 ns/op
Iteration   4: 9445,838 ±(99.9%) 660,742 ns/op
Iteration   5: 9437,388 ±(99.9%) 906,129 ns/op

# Run progress: 13,33% complete, ETA 00:08:46
# Fork: 3 of 5
# Warmup Iteration   1: 37198,808 ±(99.9%) 5212,181 ns/op
# Warmup Iteration   2: 11776,107 ±(99.9%) 1735,121 ns/op
# Warmup Iteration   3: 11098,150 ±(99.9%) 1111,910 ns/op
# Warmup Iteration   4: 11084,141 ±(99.9%) 1282,899 ns/op
# Warmup Iteration   5: 11032,427 ±(99.9%) 716,685 ns/op
Iteration   1: 11192,506 ±(99.9%) 1830,758 ns/op
Iteration   2: 11148,973 ±(99.9%) 1282,917 ns/op
Iteration   3: 11153,534 ±(99.9%) 1619,279 ns/op
Iteration   4: 10967,572 ±(99.9%) 1169,338 ns/op
Iteration   5: 11099,900 ±(99.9%) 1378,849 ns/op

# Run progress: 20,00% complete, ETA 00:08:06
# Fork: 4 of 5
# Warmup Iteration   1: 14380,721 ±(99.9%) 7202,977 ns/op
# Warmup Iteration   2: 9529,611 ±(99.9%) 648,764 ns/op
# Warmup Iteration   3: 9417,933 ±(99.9%) 986,309 ns/op
# Warmup Iteration   4: 9470,278 ±(99.9%) 841,904 ns/op
# Warmup Iteration   5: 9464,996 ±(99.9%) 719,286 ns/op
Iteration   1: 9497,619 ±(99.9%) 803,549 ns/op
Iteration   2: 9508,619 ±(99.9%) 800,237 ns/op
Iteration   3: 9519,310 ±(99.9%) 1598,796 ns/op
Iteration   4: 9330,492 ±(99.9%) 322,776 ns/op
Iteration   5: 9465,282 ±(99.9%) 1160,873 ns/op

# Run progress: 26,67% complete, ETA 00:07:25
# Fork: 5 of 5
# Warmup Iteration   1: 16960,536 ±(99.9%) 2126,120 ns/op
# Warmup Iteration   2: 9636,636 ±(99.9%) 1004,439 ns/op
# Warmup Iteration   3: 9593,335 ±(99.9%) 274,406 ns/op
# Warmup Iteration   4: 9667,251 ±(99.9%) 1059,683 ns/op
# Warmup Iteration   5: 9818,914 ±(99.9%) 621,464 ns/op
Iteration   1: 9610,335 ±(99.9%) 1472,282 ns/op
Iteration   2: 9588,791 ±(99.9%) 896,798 ns/op
Iteration   3: 9468,619 ±(99.9%) 380,559 ns/op
Iteration   4: 9586,528 ±(99.9%) 659,283 ns/op
Iteration   5: 9578,069 ±(99.9%) 1052,349 ns/op


Result "org.sample.BalancedMergesortBenchmark.testMethodBalancedParallelMergesortMerge4Cores":
  9833,154 ±(99.9%) 492,163 ns/op [Average]
  (min, avg, max) = (9330,492, 9833,154, 11192,506), stdev = 657,023
  CI (99.9%): [9340,991, 10325,316] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 10.0.2, OpenJDK 64-Bit Server VM, 10.0.2+13-Ubuntu-1ubuntu0.18.04.4
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 5 iterations, 3 s each
# Measurement: 5 iterations, 5 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.BalancedMergesortBenchmark.testMethod_BalancedParallelMergesortMerges2Halfs

# Run progress: 33,33% complete, ETA 00:06:45
# Fork: 1 of 5
# Warmup Iteration   1: 16294,338 ±(99.9%) 3106,335 ns/op
# Warmup Iteration   2: 11099,658 ±(99.9%) 579,980 ns/op
# Warmup Iteration   3: 11153,676 ±(99.9%) 1833,408 ns/op
# Warmup Iteration   4: 11018,726 ±(99.9%) 1025,752 ns/op
# Warmup Iteration   5: 10957,446 ±(99.9%) 459,839 ns/op
Iteration   1: 11196,665 ±(99.9%) 1569,281 ns/op
Iteration   2: 11083,293 ±(99.9%) 625,025 ns/op
Iteration   3: 11111,772 ±(99.9%) 533,357 ns/op
Iteration   4: 11105,323 ±(99.9%) 1486,904 ns/op
Iteration   5: 11023,213 ±(99.9%) 769,057 ns/op

