# JMH version: 1.21
# VM version: JDK 10.0.2, OpenJDK 64-Bit Server VM, 10.0.2+13-Ubuntu-1ubuntu0.18.04.4
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 5 iterations, 3 s each
# Measurement: 5 iterations, 5 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.BalancedMergesortBenchmark.testMethodBalancedParallelMergesortMerge4Cores

# Run progress: 0,00% complete, ETA 00:10:00
# Fork: 1 of 5
# Warmup Iteration   1: 1636004525,000 ±(99.9%) 1900353710,640 ns/op
# Warmup Iteration   2: 1303414192,875 ±(99.9%) 348946668,096 ns/op
# Warmup Iteration   3: 1066402536,250 ±(99.9%) 498771484,072 ns/op
# Warmup Iteration   4: 1069140645,750 ±(99.9%) 354293223,029 ns/op
# Warmup Iteration   5: 1164656039,875 ±(99.9%) 1219267652,357 ns/op
Iteration   1: 1059780265,167 ±(99.9%) 948086567,973 ns/op
Iteration   2: 1067362908,958 ±(99.9%) 86113785,525 ns/op
Iteration   3: 1207839293,542 ±(99.9%) 1387217447,580 ns/op
Iteration   4: 1226340092,375 ±(99.9%) 335021366,454 ns/op
Iteration   5: 1194575493,083 ±(99.9%) 1300114525,646 ns/op

# Run progress: 6,67% complete, ETA 00:24:04
# Fork: 2 of 5
# Warmup Iteration   1: 388863500,250 ±(99.9%) 425496435,259 ns/op
# Warmup Iteration   2: 1043520006,000 ±(99.9%) 2047864739,309 ns/op
# Warmup Iteration   3: 1082313496,125 ±(99.9%) 2198440727,241 ns/op
# Warmup Iteration   4: 1034675968,375 ±(99.9%) 1443018479,284 ns/op
# Warmup Iteration   5: 873704830,250 ±(99.9%) 707436850,304 ns/op
Iteration   1: 1063660538,458 ±(99.9%) 462480285,059 ns/op
Iteration   2: 1248241432,000 ±(99.9%) 311705879,162 ns/op
Iteration   3: 1294834518,771 ±(99.9%) 1687769837,463 ns/op
Iteration   4: 1202120757,083 ±(99.9%) 286499052,660 ns/op
Iteration   5: 1164541816,625 ±(99.9%) 689434002,018 ns/op

# Run progress: 13,33% complete, ETA 00:22:09
# Fork: 3 of 5
# Warmup Iteration   1: 1191220405,000 ±(99.9%) 1056904120,303 ns/op
# Warmup Iteration   2: 1325173970,500 ±(99.9%) 1578863929,321 ns/op
# Warmup Iteration   3: 1044923527,125 ±(99.9%) 1816606366,646 ns/op
# Warmup Iteration   4: 1189891526,250 ±(99.9%) 438982824,813 ns/op
# Warmup Iteration   5: 1281331480,625 ±(99.9%) 413152507,187 ns/op
Iteration   1: 1186856238,167 ±(99.9%) 352843736,492 ns/op
Iteration   2: 1247846883,167 ±(99.9%) 1147988316,915 ns/op
Iteration   3: 1230391202,333 ±(99.9%) 259280272,408 ns/op
Iteration   4: 1255656843,375 ±(99.9%) 2146678000,994 ns/op
Iteration   5: 1079645245,833 ±(99.9%) 1341844342,715 ns/op

# Run progress: 20,00% complete, ETA 00:20:29
# Fork: 4 of 5
# Warmup Iteration   1: 1767121601,500 ±(99.9%) 35890966,680 ns/op
# Warmup Iteration   2: 1162939699,875 ±(99.9%) 514832009,107 ns/op
# Warmup Iteration   3: 1290041994,125 ±(99.9%) 1329518499,181 ns/op
# Warmup Iteration   4: 800487105,000 ±(99.9%) 556536997,856 ns/op
# Warmup Iteration   5: 1204152031,000 ±(99.9%) 229652155,421 ns/op
Iteration   1: 1164352333,750 ±(99.9%) 286482470,041 ns/op
Iteration   2: 1204015186,375 ±(99.9%) 316060439,874 ns/op
Iteration   3: 1144564789,917 ±(99.9%) 2066314580,845 ns/op
