# JMH version: 1.21
# VM version: JDK 10.0.2, OpenJDK 64-Bit Server VM, 10.0.2+13-Ubuntu-1ubuntu0.18.04.4
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 5 iterations, 3 s each
# Measurement: 5 iterations, 5 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.BalancedMergesortBenchmark.testMethodBalancedParallelMergesortMerge4Cores

# Run progress: 0,00% complete, ETA 00:10:00
# Fork: 1 of 5
# Warmup Iteration   1: 111057495,500 ±(99.9%) 128351460,420 ns/op
# Warmup Iteration   2: 102470142,372 ±(99.9%) 44244441,683 ns/op
# Warmup Iteration   3: 76252803,066 ±(99.9%) 78763678,780 ns/op
# Warmup Iteration   4: 87056449,013 ±(99.9%) 95816578,329 ns/op
# Warmup Iteration   5: 82344522,049 ±(99.9%) 72767231,033 ns/op
Iteration   1: 70157163,522 ±(99.9%) 38166408,797 ns/op
Iteration   2: 67099224,474 ±(99.9%) 44569023,738 ns/op
Iteration   3: 74472029,995 ±(99.9%) 26327903,453 ns/op
Iteration   4: 69355419,939 ±(99.9%) 32924737,507 ns/op
Iteration   5: 71687352,895 ±(99.9%) 54270362,102 ns/op

# Run progress: 6,67% complete, ETA 00:10:33
# Fork: 2 of 5
# Warmup Iteration   1: 63441717,250 ±(99.9%) 408535078,628 ns/op
# Warmup Iteration   2: 103385783,700 ±(99.9%) 66718707,518 ns/op
# Warmup Iteration   3: 98554745,417 ±(99.9%) 53134534,470 ns/op
# Warmup Iteration   4: 79135644,827 ±(99.9%) 98028843,433 ns/op
# Warmup Iteration   5: 68346963,480 ±(99.9%) 21948908,365 ns/op
Iteration   1: 71312223,953 ±(99.9%) 46778844,657 ns/op
Iteration   2: 61903847,747 ±(99.9%) 43855857,789 ns/op
Iteration   3: 67022112,237 ±(99.9%) 47875486,733 ns/op
Iteration   4: 64975305,947 ±(99.9%) 68216245,740 ns/op
Iteration   5: 66499387,413 ±(99.9%) 50736952,079 ns/op

# Run progress: 13,33% complete, ETA 00:09:44
# Fork: 3 of 5
# Warmup Iteration   1: 112444482,000 ±(99.9%) 208612680,624 ns/op
# Warmup Iteration   2: 119364728,572 ±(99.9%) 114759406,746 ns/op
# Warmup Iteration   3: 65755898,160 ±(99.9%) 52339750,598 ns/op
# Warmup Iteration   4: 62816468,648 ±(99.9%) 76661728,573 ns/op
# Warmup Iteration   5: 79259764,366 ±(99.9%) 79672053,014 ns/op
Iteration   1: 81502037,737 ±(99.9%) 28284414,494 ns/op
Iteration   2: 70706686,815 ±(99.9%) 66324029,248 ns/op
Iteration   3: 73329716,804 ±(99.9%) 11687072,988 ns/op
Iteration   4: 77185428,340 ±(99.9%) 41030051,772 ns/op
Iteration   5: 60029881,381 ±(99.9%) 56952576,519 ns/op

# Run progress: 20,00% complete, ETA 00:08:58
# Fork: 4 of 5
# Warmup Iteration   1: 73555544,250 ±(99.9%) 94526278,107 ns/op
# Warmup Iteration   2: 88564358,790 ±(99.9%) 132493221,718 ns/op
# Warmup Iteration   3: 90335133,348 ±(99.9%) 123830677,287 ns/op
# Warmup Iteration   4: 93755007,967 ±(99.9%) 95218070,709 ns/op
# Warmup Iteration   5: 66690768,991 ±(99.9%) 52093937,379 ns/op
Iteration   1: 70874732,325 ±(99.9%) 14822324,354 ns/op
Iteration   2: 79283382,838 ±(99.9%) 19396477,186 ns/op
Iteration   3: 70639227,799 ±(99.9%) 47727384,326 ns/op
Iteration   4: 73782852,322 ±(99.9%) 39610885,947 ns/op
Iteration   5: 67166210,222 ±(99.9%) 54655797,857 ns/op

# Run progress: 26,67% complete, ETA 00:08:12
# Fork: 5 of 5
# Warmup Iteration   1: 54276749,000 ±(99.9%) 166795248,849 ns/op
# Warmup Iteration   2: 87036933,971 ±(99.9%) 58697423,440 ns/op
# Warmup Iteration   3: 89736311,135 ±(99.9%) 26869437,862 ns/op
# Warmup Iteration   4: 73556889,923 ±(99.9%) 24072571,035 ns/op
# Warmup Iteration   5: 68804442,517 ±(99.9%) 69220786,252 ns/op
Iteration   1: 70121758,864 ±(99.9%) 48031501,386 ns/op
Iteration   2: 67428673,975 ±(99.9%) 60921465,856 ns/op
Iteration   3: 64551511,947 ±(99.9%) 56380918,864 ns/op
Iteration   4: 65632469,635 ±(99.9%) 41254839,150 ns/op
Iteration   5: 62247410,355 ±(99.9%) 59936956,649 ns/op


Result "org.sample.BalancedMergesortBenchmark.testMethodBalancedParallelMergesortMerge4Cores":
  69558641,979 ±(99.9%) 3929912,076 ns/op [Average]
  (min, avg, max) = (60029881,381, 69558641,979, 81502037,737), stdev = 5246320,186
  CI (99.9%): [65628729,903, 73488554,055] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 10.0.2, OpenJDK 64-Bit Server VM, 10.0.2+13-Ubuntu-1ubuntu0.18.04.4
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 5 iterations, 3 s each
# Measurement: 5 iterations, 5 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.BalancedMergesortBenchmark.testMethod_BalancedParallelMergesortMerges2Halfs

# Run progress: 33,33% complete, ETA 00:07:29
# Fork: 1 of 5
# Warmup Iteration   1: 147011385,250 ±(99.9%) 668793153,470 ns/op
# Warmup Iteration   2: 94394952,943 ±(99.9%) 50652911,781 ns/op
# Warmup Iteration   3: 87209303,869 ±(99.9%) 16171576,548 ns/op
# Warmup Iteration   4: 75199057,926 ±(99.9%) 53636497,812 ns/op
# Warmup Iteration   5: 101672831,738 ±(99.9%) 47729926,862 ns/op
Iteration   1: 64986913,587 ±(99.9%) 33827638,443 ns/op
Iteration   2: 73994570,790 ±(99.9%) 24828648,521 ns/op
Iteration   3: 70040339,487 ±(99.9%) 39891916,871 ns/op
Iteration   4: 63006619,810 ±(99.9%) 17687034,369 ns/op
Iteration   5: 67678546,549 ±(99.9%) 36879436,645 ns/op

