# JMH version: 1.21
# VM version: JDK 10.0.2, OpenJDK 64-Bit Server VM, 10.0.2+13-Ubuntu-1ubuntu0.18.04.4
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 5 iterations, 3 s each
# Measurement: 5 iterations, 5 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.BalancedMergesortBenchmark.testMethodBalancedParallelMergesortMerge4Cores

# Run progress: 0,00% complete, ETA 00:10:00
# Fork: 1 of 5
# Warmup Iteration   1: 176772,519 ±(99.9%) 76790,218 ns/op
# Warmup Iteration   2: 131070,123 ±(99.9%) 71398,237 ns/op
# Warmup Iteration   3: 132967,867 ±(99.9%) 43855,846 ns/op
# Warmup Iteration   4: 123856,063 ±(99.9%) 30323,469 ns/op
# Warmup Iteration   5: 122699,799 ±(99.9%) 17053,482 ns/op
Iteration   1: 119684,305 ±(99.9%) 6294,628 ns/op
Iteration   2: 124052,328 ±(99.9%) 22017,579 ns/op
Iteration   3: 121629,603 ±(99.9%) 8910,255 ns/op
Iteration   4: 120965,036 ±(99.9%) 18717,387 ns/op
Iteration   5: 122081,979 ±(99.9%) 18791,364 ns/op

# Run progress: 6,67% complete, ETA 00:09:28
# Fork: 2 of 5
# Warmup Iteration   1: 141016,942 ±(99.9%) 23564,218 ns/op
# Warmup Iteration   2: 123177,535 ±(99.9%) 15613,608 ns/op
# Warmup Iteration   3: 126380,548 ±(99.9%) 41167,324 ns/op
# Warmup Iteration   4: 122506,217 ±(99.9%) 7421,368 ns/op
# Warmup Iteration   5: 123891,066 ±(99.9%) 22542,831 ns/op
Iteration   1: 122225,473 ±(99.9%) 13930,169 ns/op
Iteration   2: 122611,417 ±(99.9%) 5354,601 ns/op
Iteration   3: 121792,366 ±(99.9%) 5365,034 ns/op
Iteration   4: 121440,579 ±(99.9%) 13308,643 ns/op
Iteration   5: 122138,012 ±(99.9%) 11763,384 ns/op

# Run progress: 13,33% complete, ETA 00:08:47
# Fork: 3 of 5
# Warmup Iteration   1: 424138,250 ±(99.9%) 98556,809 ns/op
# Warmup Iteration   2: 127043,899 ±(99.9%) 40928,087 ns/op
# Warmup Iteration   3: 123977,027 ±(99.9%) 12442,354 ns/op
# Warmup Iteration   4: 123306,456 ±(99.9%) 12535,101 ns/op
# Warmup Iteration   5: 124822,358 ±(99.9%) 21589,762 ns/op
