# JMH version: 1.21
# VM version: JDK 10.0.2, OpenJDK 64-Bit Server VM, 10.0.2+13-Ubuntu-1ubuntu0.18.04.4
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 5 iterations, 3 s each
# Measurement: 5 iterations, 5 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.BalancedMergesortBenchmark.testMethodBalancedParallelMergesortMerge4Cores

# Run progress: 0,00% complete, ETA 00:10:00
# Fork: 1 of 5
# Warmup Iteration   1: 22456,904 ±(99.9%) 2649,343 ns/op
# Warmup Iteration   2: 9657,038 ±(99.9%) 4667,738 ns/op
# Warmup Iteration   3: 8694,800 ±(99.9%) 2129,331 ns/op
# Warmup Iteration   4: 8415,020 ±(99.9%) 886,539 ns/op
# Warmup Iteration   5: 8665,369 ±(99.9%) 785,239 ns/op
Iteration   1: 8434,920 ±(99.9%) 918,728 ns/op
Iteration   2: 8448,815 ±(99.9%) 465,830 ns/op
Iteration   3: 8542,150 ±(99.9%) 594,010 ns/op
Iteration   4: 8435,342 ±(99.9%) 672,156 ns/op
Iteration   5: 8487,276 ±(99.9%) 789,271 ns/op

# Run progress: 6,67% complete, ETA 00:09:28
# Fork: 2 of 5
# Warmup Iteration   1: 12197,210 ±(99.9%) 7709,435 ns/op
# Warmup Iteration   2: 8371,491 ±(99.9%) 576,948 ns/op
# Warmup Iteration   3: 8316,627 ±(99.9%) 862,055 ns/op
# Warmup Iteration   4: 8545,519 ±(99.9%) 927,776 ns/op
# Warmup Iteration   5: 8517,280 ±(99.9%) 1514,884 ns/op
Iteration   1: 8408,806 ±(99.9%) 1234,942 ns/op
Iteration   2: 8344,337 ±(99.9%) 380,125 ns/op
Iteration   3: 8344,315 ±(99.9%) 530,172 ns/op
Iteration   4: 8330,554 ±(99.9%) 340,284 ns/op
Iteration   5: 8462,576 ±(99.9%) 613,660 ns/op

# Run progress: 13,33% complete, ETA 00:08:47
# Fork: 3 of 5
# Warmup Iteration   1: 12058,814 ±(99.9%) 4046,423 ns/op
# Warmup Iteration   2: 8448,130 ±(99.9%) 1004,984 ns/op
# Warmup Iteration   3: 8418,456 ±(99.9%) 1178,908 ns/op
# Warmup Iteration   4: 8490,409 ±(99.9%) 438,366 ns/op
# Warmup Iteration   5: 8360,624 ±(99.9%) 303,979 ns/op
Iteration   1: 8570,572 ±(99.9%) 1610,170 ns/op
Iteration   2: 8417,555 ±(99.9%) 594,915 ns/op
Iteration   3: 8427,910 ±(99.9%) 776,798 ns/op
Iteration   4: 8382,246 ±(99.9%) 610,550 ns/op
Iteration   5: 8372,353 ±(99.9%) 704,315 ns/op

# Run progress: 20,00% complete, ETA 00:08:06
# Fork: 4 of 5
# Warmup Iteration   1: 13483,375 ±(99.9%) 1786,788 ns/op
# Warmup Iteration   2: 8526,298 ±(99.9%) 1761,173 ns/op
# Warmup Iteration   3: 8421,759 ±(99.9%) 1136,437 ns/op
# Warmup Iteration   4: 8648,319 ±(99.9%) 1289,282 ns/op
# Warmup Iteration   5: 8524,139 ±(99.9%) 1447,752 ns/op
