# JMH version: 1.21
# VM version: JDK 10.0.2, OpenJDK 64-Bit Server VM, 10.0.2+13-Ubuntu-1ubuntu0.18.04.4
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 5 iterations, 3 s each
# Measurement: 5 iterations, 5 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.BalancedMergesortBenchmark.testMethodBalancedParallelMergesortMerge4Cores

# Run progress: 0,00% complete, ETA 00:10:00
# Fork: 1 of 5
# Warmup Iteration   1: 2801151,730 ±(99.9%) 1543649,854 ns/op
# Warmup Iteration   2: 1063423,441 ±(99.9%) 313088,079 ns/op
# Warmup Iteration   3: 956628,798 ±(99.9%) 104860,343 ns/op
# Warmup Iteration   4: 1093059,807 ±(99.9%) 490663,595 ns/op
# Warmup Iteration   5: 996536,703 ±(99.9%) 174782,045 ns/op
Iteration   1: 979221,969 ±(99.9%) 132645,177 ns/op
Iteration   2: 945217,333 ±(99.9%) 130547,420 ns/op
Iteration   3: 950919,686 ±(99.9%) 136364,953 ns/op
Iteration   4: 944821,941 ±(99.9%) 54962,567 ns/op
Iteration   5: 945436,278 ±(99.9%) 33286,291 ns/op

# Run progress: 6,67% complete, ETA 00:09:29
# Fork: 2 of 5
# Warmup Iteration   1: 2275077,337 ±(99.9%) 1923936,585 ns/op
# Warmup Iteration   2: 1286724,225 ±(99.9%) 679171,152 ns/op
# Warmup Iteration   3: 1039573,027 ±(99.9%) 149935,978 ns/op
# Warmup Iteration   4: 1061295,956 ±(99.9%) 334834,828 ns/op
# Warmup Iteration   5: 1055662,204 ±(99.9%) 326456,153 ns/op
Iteration   1: 972369,529 ±(99.9%) 205889,479 ns/op
Iteration   2: 961082,166 ±(99.9%) 55085,805 ns/op
Iteration   3: 1000617,618 ±(99.9%) 226690,570 ns/op
Iteration   4: 968460,091 ±(99.9%) 116181,466 ns/op
Iteration   5: 969181,067 ±(99.9%) 97640,182 ns/op

# Run progress: 13,33% complete, ETA 00:08:48
# Fork: 3 of 5
# Warmup Iteration   1: 1487600,093 ±(99.9%) 851542,859 ns/op
# Warmup Iteration   2: 1102668,432 ±(99.9%) 242546,847 ns/op
# Warmup Iteration   3: 1035238,014 ±(99.9%) 113764,229 ns/op
# Warmup Iteration   4: 1054041,770 ±(99.9%) 473101,182 ns/op
# Warmup Iteration   5: 1103664,061 ±(99.9%) 280685,509 ns/op
Iteration   1: 992293,749 ±(99.9%) 162277,211 ns/op
Iteration   2: 986576,762 ±(99.9%) 69219,328 ns/op
Iteration   3: 997439,828 ±(99.9%) 117400,390 ns/op
Iteration   4: 1018937,257 ±(99.9%) 131030,101 ns/op
Iteration   5: 994991,646 ±(99.9%) 208415,250 ns/op

# Run progress: 20,00% complete, ETA 00:08:07
# Fork: 4 of 5
# Warmup Iteration   1: 5287767,344 ±(99.9%) 2064783,678 ns/op
# Warmup Iteration   2: 1127273,191 ±(99.9%) 705557,802 ns/op
# Warmup Iteration   3: 966950,615 ±(99.9%) 131904,144 ns/op
# Warmup Iteration   4: 1008355,577 ±(99.9%) 298207,160 ns/op
# Warmup Iteration   5: 1027615,859 ±(99.9%) 201634,112 ns/op
Iteration   1: 944711,266 ±(99.9%) 88896,495 ns/op
Iteration   2: 969095,737 ±(99.9%) 81641,367 ns/op
Iteration   3: 945056,343 ±(99.9%) 46533,717 ns/op
Iteration   4: 961712,577 ±(99.9%) 62324,470 ns/op
Iteration   5: 951041,497 ±(99.9%) 111428,817 ns/op

# Run progress: 26,67% complete, ETA 00:07:26
# Fork: 5 of 5
# Warmup Iteration   1: 2261170,656 ±(99.9%) 1983601,390 ns/op
# Warmup Iteration   2: 1185822,518 ±(99.9%) 650069,779 ns/op
# Warmup Iteration   3: 1167154,494 ±(99.9%) 540763,497 ns/op
# Warmup Iteration   4: 978334,253 ±(99.9%) 310017,218 ns/op
# Warmup Iteration   5: 982895,921 ±(99.9%) 145426,616 ns/op
Iteration   1: 962045,117 ±(99.9%) 180272,754 ns/op
Iteration   2: 964214,523 ±(99.9%) 73604,992 ns/op
Iteration   3: 969165,680 ±(99.9%) 45764,452 ns/op
Iteration   4: 969916,189 ±(99.9%) 36881,511 ns/op
