# JMH version: 1.21
# VM version: JDK 10.0.2, OpenJDK 64-Bit Server VM, 10.0.2+13-Ubuntu-1ubuntu0.18.04.4
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 5 iterations, 3 s each
# Measurement: 5 iterations, 5 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.BalancedMergesortBenchmark.testMethodBalancedParallelMergesortMerge4Cores

# Run progress: 0,00% complete, ETA 00:10:00
# Fork: 1 of 5
# Warmup Iteration   1: 110891,853 ±(99.9%) 51126,486 ns/op
# Warmup Iteration   2: 78030,066 ±(99.9%) 11497,597 ns/op
# Warmup Iteration   3: 78018,404 ±(99.9%) 6652,731 ns/op
# Warmup Iteration   4: 78251,779 ±(99.9%) 7520,050 ns/op
# Warmup Iteration   5: 77728,899 ±(99.9%) 18297,440 ns/op
Iteration   1: 77032,369 ±(99.9%) 9978,411 ns/op
Iteration   2: 77109,482 ±(99.9%) 2256,765 ns/op
Iteration   3: 77044,066 ±(99.9%) 8123,779 ns/op
Iteration   4: 76902,774 ±(99.9%) 8151,972 ns/op
Iteration   5: 76397,750 ±(99.9%) 4810,804 ns/op

# Run progress: 6,67% complete, ETA 00:09:28
# Fork: 2 of 5
# Warmup Iteration   1: 117871,020 ±(99.9%) 44354,143 ns/op
# Warmup Iteration   2: 77436,265 ±(99.9%) 13209,854 ns/op
# Warmup Iteration   3: 77652,556 ±(99.9%) 9584,432 ns/op
# Warmup Iteration   4: 77586,462 ±(99.9%) 8927,155 ns/op
# Warmup Iteration   5: 76565,493 ±(99.9%) 8233,710 ns/op
Iteration   1: 76837,255 ±(99.9%) 12328,217 ns/op
Iteration   2: 76963,689 ±(99.9%) 6504,801 ns/op
Iteration   3: 77068,263 ±(99.9%) 8426,982 ns/op
Iteration   4: 76555,601 ±(99.9%) 4641,120 ns/op
Iteration   5: 77006,286 ±(99.9%) 8435,415 ns/op

# Run progress: 13,33% complete, ETA 00:08:47
# Fork: 3 of 5
# Warmup Iteration   1: 108543,801 ±(99.9%) 27571,336 ns/op
# Warmup Iteration   2: 79863,359 ±(99.9%) 14213,150 ns/op
# Warmup Iteration   3: 76836,878 ±(99.9%) 10043,918 ns/op
# Warmup Iteration   4: 77968,423 ±(99.9%) 17688,366 ns/op
# Warmup Iteration   5: 78222,060 ±(99.9%) 4115,956 ns/op
Iteration   1: 79149,735 ±(99.9%) 10273,938 ns/op
Iteration   2: 76457,152 ±(99.9%) 4720,151 ns/op
Iteration   3: 77493,073 ±(99.9%) 2248,189 ns/op
Iteration   4: 76488,930 ±(99.9%) 9289,410 ns/op
Iteration   5: 77515,048 ±(99.9%) 10849,374 ns/op

# Run progress: 20,00% complete, ETA 00:08:06
# Fork: 4 of 5
# Warmup Iteration   1: 92099,975 ±(99.9%) 11046,330 ns/op
