# JMH version: 1.21
# VM version: JDK 10.0.2, OpenJDK 64-Bit Server VM, 10.0.2+13-Ubuntu-1ubuntu0.18.04.4
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 5 iterations, 3 s each
# Measurement: 5 iterations, 5 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.BalancedMergesortBenchmark.testMethodBalancedParallelMergesortMerge4Cores

# Run progress: 0,00% complete, ETA 00:10:00
# Fork: 1 of 5
# Warmup Iteration   1: 8899549,744 ±(99.9%) 4589348,817 ns/op
# Warmup Iteration   2: 1689927,874 ±(99.9%) 979587,407 ns/op
# Warmup Iteration   3: 1180631,210 ±(99.9%) 198195,344 ns/op
# Warmup Iteration   4: 1207080,930 ±(99.9%) 397392,977 ns/op
# Warmup Iteration   5: 1123351,407 ±(99.9%) 243153,839 ns/op
Iteration   1: 1115720,022 ±(99.9%) 50059,544 ns/op
Iteration   2: 1136927,984 ±(99.9%) 76475,294 ns/op
Iteration   3: 1117055,361 ±(99.9%) 147039,092 ns/op
Iteration   4: 1105277,805 ±(99.9%) 101933,583 ns/op
Iteration   5: 1119108,999 ±(99.9%) 73447,134 ns/op

# Run progress: 6,67% complete, ETA 00:09:29
# Fork: 2 of 5
# Warmup Iteration   1: 8858033,073 ±(99.9%) 11285359,292 ns/op
# Warmup Iteration   2: 1637058,070 ±(99.9%) 1179114,984 ns/op
# Warmup Iteration   3: 1185350,663 ±(99.9%) 166451,277 ns/op
# Warmup Iteration   4: 1217014,474 ±(99.9%) 531479,862 ns/op
# Warmup Iteration   5: 1112734,147 ±(99.9%) 192204,617 ns/op
Iteration   1: 1152081,351 ±(99.9%) 152416,176 ns/op
Iteration   2: 1135779,074 ±(99.9%) 68346,612 ns/op
Iteration   3: 1114902,661 ±(99.9%) 135183,778 ns/op
Iteration   4: 1105631,204 ±(99.9%) 114988,868 ns/op
Iteration   5: 1115673,334 ±(99.9%) 75385,301 ns/op

# Run progress: 13,33% complete, ETA 00:08:47
# Fork: 3 of 5
# Warmup Iteration   1: 1816013,627 ±(99.9%) 1467252,882 ns/op
# Warmup Iteration   2: 1452006,731 ±(99.9%) 473319,067 ns/op
# Warmup Iteration   3: 1251249,630 ±(99.9%) 204382,121 ns/op
# Warmup Iteration   4: 1418051,298 ±(99.9%) 334759,869 ns/op
# Warmup Iteration   5: 1187541,204 ±(99.9%) 158558,032 ns/op
Iteration   1: 1155646,429 ±(99.9%) 97181,090 ns/op
Iteration   2: 1158021,353 ±(99.9%) 60772,164 ns/op
Iteration   3: 1147083,492 ±(99.9%) 65604,854 ns/op
Iteration   4: 1149571,332 ±(99.9%) 53510,806 ns/op
Iteration   5: 1144628,613 ±(99.9%) 56868,109 ns/op

# Run progress: 20,00% complete, ETA 00:08:07
# Fork: 4 of 5
# Warmup Iteration   1: 2156962,201 ±(99.9%) 1286233,947 ns/op
# Warmup Iteration   2: 1213671,271 ±(99.9%) 239345,895 ns/op
# Warmup Iteration   3: 1122601,347 ±(99.9%) 277206,054 ns/op
# Warmup Iteration   4: 1115011,129 ±(99.9%) 89002,690 ns/op
# Warmup Iteration   5: 1157748,765 ±(99.9%) 442461,991 ns/op
Iteration   1: 1103686,894 ±(99.9%) 63968,805 ns/op
Iteration   2: 1109249,062 ±(99.9%) 36562,948 ns/op
Iteration   3: 1105787,620 ±(99.9%) 80334,129 ns/op
Iteration   4: 1128519,245 ±(99.9%) 128136,369 ns/op
Iteration   5: 1090366,530 ±(99.9%) 96450,558 ns/op

# Run progress: 26,67% complete, ETA 00:07:26
# Fork: 5 of 5
# Warmup Iteration   1: 1902791,501 ±(99.9%) 864353,152 ns/op
# Warmup Iteration   2: 1571023,632 ±(99.9%) 807913,051 ns/op
# Warmup Iteration   3: 1155501,648 ±(99.9%) 157482,638 ns/op
# Warmup Iteration   4: 1451210,492 ±(99.9%) 746408,688 ns/op
# Warmup Iteration   5: 1240942,934 ±(99.9%) 171486,127 ns/op
Iteration   1: 1214926,506 ±(99.9%) 193940,348 ns/op
Iteration   2: 1160406,746 ±(99.9%) 68706,634 ns/op
Iteration   3: 1190214,954 ±(99.9%) 381245,274 ns/op
Iteration   4: 1151180,435 ±(99.9%) 40487,119 ns/op
Iteration   5: 1161192,824 ±(99.9%) 70090,687 ns/op


Result "org.sample.BalancedMergesortBenchmark.testMethodBalancedParallelMergesortMerge4Cores":
  1135545,593 ±(99.9%) 22013,583 ns/op [Average]
  (min, avg, max) = (1090366,530, 1135545,593, 1214926,506), stdev = 29387,504
  CI (99.9%): [1113532,010, 1157559,176] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 10.0.2, OpenJDK 64-Bit Server VM, 10.0.2+13-Ubuntu-1ubuntu0.18.04.4
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 5 iterations, 3 s each
# Measurement: 5 iterations, 5 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.BalancedMergesortBenchmark.testMethod_BalancedParallelMergesortMerges2Halfs

# Run progress: 33,33% complete, ETA 00:06:45
# Fork: 1 of 5
# Warmup Iteration   1: 3166855,957 ±(99.9%) 1546246,450 ns/op
# Warmup Iteration   2: 1327383,540 ±(99.9%) 326718,213 ns/op
# Warmup Iteration   3: 1239592,961 ±(99.9%) 566455,975 ns/op
# Warmup Iteration   4: 1377952,165 ±(99.9%) 58260,648 ns/op
# Warmup Iteration   5: 1189719,658 ±(99.9%) 419681,866 ns/op
Iteration   1: 1128261,151 ±(99.9%) 186776,971 ns/op
Iteration   2: 1104419,204 ±(99.9%) 47584,706 ns/op
Iteration   3: 1106433,541 ±(99.9%) 151914,688 ns/op
Iteration   4: 1103533,724 ±(99.9%) 36641,611 ns/op
Iteration   5: 1115134,759 ±(99.9%) 204977,214 ns/op

# Run progress: 40,00% complete, ETA 00:06:05
# Fork: 2 of 5
# Warmup Iteration   1: 1709176,339 ±(99.9%) 1487557,399 ns/op
